Time stamp,System power generated | (kW)
1/1/18 0:00,-0.631104
1/1/18 1:00,-0.631104
1/1/18 2:00,-0.631104
1/1/18 3:00,-0.631104
1/1/18 4:00,-0.631104
1/1/18 5:00,-0.631104
1/1/18 6:00,-0.631104
1/1/18 7:00,-0.631104
1/1/18 8:00,14.3437
1/1/18 9:00,158.34
1/1/18 10:00,643.395
1/1/18 11:00,1113.86
1/1/18 12:00,1278.04
1/1/18 13:00,1176.08
1/1/18 14:00,882.481
1/1/18 15:00,517.815
1/1/18 16:00,223.366
1/1/18 17:00,-0.631104
1/1/18 18:00,-0.631104
1/1/18 19:00,-0.631104
1/1/18 20:00,-0.631104
1/1/18 21:00,-0.631104
1/1/18 22:00,-0.631104
1/1/18 23:00,-0.631104
1/2/18 0:00,-0.631104
1/2/18 1:00,-0.631104
1/2/18 2:00,-0.631104
1/2/18 3:00,-0.631104
1/2/18 4:00,-0.631104
1/2/18 5:00,-0.631104
1/2/18 6:00,-0.631104
1/2/18 7:00,-0.631104
1/2/18 8:00,112.277
1/2/18 9:00,397.496
1/2/18 10:00,937.705
1/2/18 11:00,1721.11
1/2/18 12:00,1826.37
1/2/18 13:00,1767.92
1/2/18 14:00,1533.4
1/2/18 15:00,1136.89
1/2/18 16:00,594.658
1/2/18 17:00,-0.631104
1/2/18 18:00,-0.631104
1/2/18 19:00,-0.631104
1/2/18 20:00,-0.631104
1/2/18 21:00,-0.631104
1/2/18 22:00,-0.631104
1/2/18 23:00,-0.631104
1/3/18 0:00,-0.631104
1/3/18 1:00,-0.631104
1/3/18 2:00,-0.631104
1/3/18 3:00,-0.631104
1/3/18 4:00,-0.631104
1/3/18 5:00,-0.631104
1/3/18 6:00,-0.631104
1/3/18 7:00,42.5208
1/3/18 8:00,672.648
1/3/18 9:00,845.394
1/3/18 10:00,1157.79
1/3/18 11:00,1338.56
1/3/18 12:00,1579.57
1/3/18 13:00,1532.92
1/3/18 14:00,1263.54
1/3/18 15:00,827.879
1/3/18 16:00,551.554
1/3/18 17:00,-0.631104
1/3/18 18:00,-0.631104
1/3/18 19:00,-0.631104
1/3/18 20:00,-0.631104
1/3/18 21:00,-0.631104
1/3/18 22:00,-0.631104
1/3/18 23:00,-0.631104
1/4/18 0:00,-0.631104
1/4/18 1:00,-0.631104
1/4/18 2:00,-0.631104
1/4/18 3:00,-0.631104
1/4/18 4:00,-0.631104
1/4/18 5:00,-0.631104
1/4/18 6:00,-0.631104
1/4/18 7:00,-0.631104
1/4/18 8:00,150.584
1/4/18 9:00,569.986
1/4/18 10:00,690.182
1/4/18 11:00,1296.48
1/4/18 12:00,851.896
1/4/18 13:00,733.458
1/4/18 14:00,960.85
1/4/18 15:00,549.867
1/4/18 16:00,468.8
