Day,Hour,Price
1/1/18,0:00,26.84
1/1/18,1:00,25.1
1/1/18,2:00,24.96
1/1/18,3:00,26.06
1/1/18,4:00,27.51
1/1/18,5:00,30.58
1/1/18,6:00,34.71
1/1/18,7:00,37.8
1/1/18,8:00,54.92
1/1/18,9:00,58.98
1/1/18,10:00,51.05
1/1/18,11:00,36.51
1/1/18,12:00,32.79
1/1/18,13:00,30.07
1/1/18,14:00,29.22
1/1/18,15:00,28.18
1/1/18,16:00,29.73
1/1/18,17:00,48.49
1/1/18,18:00,60.91
1/1/18,19:00,55.92
1/1/18,20:00,49.58
1/1/18,21:00,37.94
1/1/18,22:00,37.73
1/1/18,23:00,31.48
1/2/18,0:00,34.52
1/2/18,1:00,30.25
1/2/18,2:00,31.06
1/2/18,3:00,34.61
1/2/18,4:00,47.76
1/2/18,5:00,53.59
1/2/18,6:00,162.92
1/2/18,7:00,185.17
1/2/18,8:00,111.5
1/2/18,9:00,90.3
1/2/18,10:00,58.66
1/2/18,11:00,43.44
1/2/18,12:00,33.15
1/2/18,13:00,30.56
1/2/18,14:00,29.36
1/2/18,15:00,29.58
1/2/18,16:00,34.54
1/2/18,17:00,73.69
1/2/18,18:00,99.01
1/2/18,19:00,68.49
1/2/18,20:00,61.81
1/2/18,21:00,48.54
1/2/18,22:00,44.79
1/2/18,23:00,35.18
1/3/18,0:00,29.49
1/3/18,1:00,29.74
1/3/18,2:00,30.55
1/3/18,3:00,31.23
1/3/18,4:00,44.64
1/3/18,5:00,52.16
1/3/18,6:00,101.2
1/3/18,7:00,93.65
1/3/18,8:00,64.02
1/3/18,9:00,62.59
1/3/18,10:00,58.82
1/3/18,11:00,53.89
1/3/18,12:00,49.16
1/3/18,13:00,46.2
1/3/18,14:00,44.6
1/3/18,15:00,45.28
1/3/18,16:00,48.04
1/3/18,17:00,53.65
1/3/18,18:00,66.06
1/3/18,19:00,59.76
1/3/18,20:00,58.19
1/3/18,21:00,55.07
1/3/18,22:00,52.12
1/3/18,23:00,50.51
1/4/18,0:00,40.28
1/4/18,1:00,40.06
1/4/18,2:00,41.06
1/4/18,3:00,42.77
1/4/18,4:00,43.73
1/4/18,5:00,56.74
1/4/18,6:00,84.99
1/4/18,7:00,70.98
1/4/18,8:00,52.5
1/4/18,9:00,54.35
1/4/18,10:00,49.44
1/4/18,11:00,44.03
1/4/18,12:00,43.01
1/4/18,13:00,39.52
1/4/18,14:00,36.89
1/4/18,15:00,38.23
1/4/18,16:00,42.25
1/4/18,17:00,52.57
1/4/18,18:00,56.68
1/4/18,19:00,52.18
1/4/18,20:00,51.22
1/4/18,21:00,45.36
1/4/18,22:00,47.99
1/4/18,23:00,48.23
1/5/18,0:00,39.69
1/5/18,1:00,33.22
1/5/18,2:00,33.78
1/5/18,3:00,33.52
1/5/18,4:00,38.42
1/5/18,5:00,43.65
1/5/18,6:00,51.28
1/5/18,7:00,52.13
1/5/18,8:00,38.48
1/5/18,9:00,31.09
